name,track_number,acousticness,danceability,energy,liveness,loudness,tempo,valence,duration,taylors_version,performed_live,not_first_release,low_instrumentalness,medium_instrumentalness,spoken_section,Lover,Fearless (Taylor's Version),Speak Now (Taylor's Version),Red (Taylor's Version),folklore,reputation Stadium Tour Surprise Song Playlist,1989 (Taylor's Version),Speak Now World Tour Live,Red,Midnights,Fearless,Speak Now,1989,evermore,Taylor Swift,Live From Clear Channel Stripped 2008,reputation
this is me trying - the long pond studio sessions,0.17777777777777778,-0.0740717812692591,0.29357798165137616,0.2572115384615385,-5.3212507969921345,0.3070494964645382,0.0,0.13206713780918727,0.13471570329411262,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Haunted,0.24444444444444444,-1.8874708866869214,0.2951070336391437,1.0,-3.4409553285032155,0.9487179487179489,0.6743555341909468,0.3473939929328622,0.2049851046957715,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Question...?,0.13333333333333333,-1.2552917371600756,0.7767584097859327,0.46153846153846156,-1.7510927803234408,0.5094636097421613,0.29338709561698684,0.08237632508833923,0.1374225765661502,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Breathe,0.7111111111111111,-0.7926447081829779,0.30428134556574926,0.43509615384615385,-3.8861586327784328,0.6074566102421255,0.041268770761736046,0.1431095406360424,0.2539917272123278,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Blank Space,0.022222222222222223,-1.761339074731208,0.790519877675841,0.703125,-5.1156242306477955,0.7498035854581817,0.20017362730396976,0.5881183745583038,0.18300863713324333,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Blank Space (Taylor's Version),0.022222222222222223,-1.792718513841889,0.7553516819571865,0.7295673076923077,-3.0010403470405866,0.7494464681094208,0.20028124753370308,0.7924028268551238,0.18302363959793397,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
august,0.15555555555555556,-0.5530393252334758,0.22018348623853212,0.6201923076923077,-5.039533542731945,0.47768016570244987,0.1540404221582878,0.42248233215547704,0.2475063760474936,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Innocent,0.2222222222222222,-1.389567433563437,0.47247706422018354,0.5889423076923077,-3.9884245344735847,0.7585172487679452,0.47319180077343076,0.14642226148409895,0.3339484343856491,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Dress,0.24444444444444444,-2.3483934212920228,0.7278287461773699,0.421875,-3.0807892369065843,0.5083922576958789,0.3729973668917125,0.05267226148409893,0.1798945541053173,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Shake It Off (Taylor's Version),0.1111111111111111,-2.748256152739236,0.6009174311926605,0.8293269230769232,-1.3918404927527448,0.7297335904578245,0.659790929767038,0.9712897526501768,0.15596776613300758,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Bejeweled,0.17777777777777778,-2.0436162718040367,0.6926605504587156,0.530048076923077,-5.229790803976297,0.47996571673451904,0.6880663514589715,0.43683745583038874,0.10229323388842451,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Back To December (Taylor's Version),0.044444444444444446,-2.967222408431782,0.38837920489296635,0.6213942307692308,-4.209235220060585,0.8558674380401401,0.5306825274969685,0.18286219081272087,0.316665595062046,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Forever & Always,0.2222222222222222,-1.9391573849182366,0.5581039755351681,0.844951923076923,-4.422851249675016,0.7803014070423542,0.43008631142424614,0.5594081272084807,0.1690649178079256,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
You Need To Calm Down,0.28888888888888886,-2.839127945842287,0.8073394495412844,0.6646634615384617,-6.6817341293981825,0.7351617741589886,0.12146019127702165,0.7471289752650176,0.053417347135600875,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"""Slut!"" (Taylor's Version) (From The Vault)",0.35555555555555557,-1.0263881107797512,0.5321100917431192,0.35336538461538464,-6.908995206136305,0.18855796014570392,0.629779235035407,0.32089222614840995,0.07275123770333697,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Fearless,0.0,-2.2587034616886976,0.5366972477064219,0.7139423076923077,-1.6727929402513355,0.8207985143918293,0.22869298818329875,0.4843197879858657,0.20478364302706872,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
I Wish You Would,0.13333333333333333,-2.6458522759750336,0.6192660550458716,0.9375000000000001,-4.455116654000799,0.7104492536247411,0.35818164859842583,0.513030035335689,0.1307443365695793,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Out Of The Woods (Taylor's Version),0.06666666666666667,-3.5317718941366003,0.46177370030581044,0.9218750000000001,-1.268855734392539,0.7100921362759803,0.17164709174265852,0.18617491166077738,0.19152575065903688,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
cardigan,0.022222222222222223,-0.5979765077915816,0.5642201834862385,0.5552884615384616,-2.0274505614799194,0.5241054210413543,0.44445719943463496,0.5483657243816256,0.1995842174071455,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Last Kiss,0.26666666666666666,-0.5265992386363928,0.19571865443425077,0.2680288461538462,-4.7310918089955845,0.45961002785515326,0.15024501538969284,0.17513250883392228,0.4729998499753531,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
When Emma Falls in Love (Taylor’s Version) (From The Vault),0.37777777777777777,-1.4933094562581952,0.35321100917431186,0.7752403846153847,-3.6732831804813193,0.8055138918648669,0.07200510837357134,0.2137809187279152,0.22707087592961703,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anti-Hero,0.044444444444444446,-1.6210225562178993,0.6024464831804281,0.6310096153846154,-3.5855342340981533,0.6670237840154275,0.2074272307879953,0.54726148409894,0.1162776741893311,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Come Back...Be Here,0.6,-3.048392523662023,0.36697247706422015,0.5168269230769231,-4.779198848353946,0.6870223555460324,0.08486931316769389,0.19832155477031801,0.16606442486980003,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
hoax,0.3333333333333333,-0.034451332945986686,0.6406727828746178,0.07572115384615385,-3.788755296824758,0.060352831940575724,0.3639142195022206,0.43242049469964666,0.15775305943119228,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Bad Blood (Taylor's Version),0.15555555555555556,-2.2765719205035886,0.5749235474006116,0.6826923076923078,-1.6855084527110853,0.681451324905364,0.7307126611612941,0.36064487632508835,0.13859491202126067,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Innocent,0.2222222222222222,-1.389567433563437,0.47247706422018354,0.5889423076923077,-3.9884245344735847,0.7585172487679452,0.47319180077343076,0.14642226148409895,0.3339484343856491,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
coney island (feat. The National),0.17777777777777778,-0.1950624560174039,0.44954128440366975,0.5036057692307693,-3.5855342340981533,0.3316905935290337,0.28553799352843684,0.28113957597173145,0.27622537988383805,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
All You Had To Do Was Stay (Taylor's Version),0.08888888888888889,-3.4804717387246256,0.5244648318042813,0.7235576923076923,-4.965719001082014,0.7395186058138704,0.2077787902051242,0.4898409893992933,0.10041578259285451,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Bad Blood (Taylor's Version),0.15555555555555556,-2.3050341888107932,0.573394495412844,0.6790865384615385,-1.6983547418786937,0.676523105492465,0.7309135522567962,0.35954063604240283,0.13859491202126067,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
tolerate it,0.08888888888888889,-0.12814119154643872,0.11162079510703365,0.2920673076923077,-5.669354881607398,0.39490036425969577,0.04918244498812592,0.20273851590106007,0.21218628774727277,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
