name,album,track_number,acousticness,danceability,energy,liveness,loudness,tempo,valence,popularity,duration,taylors_version,performed_live,not_first_release,low_instrumentalness,medium_instrumentalness,spoken_section,Midnights,Lover,reputation,Red (Taylor's Version),folklore,Speak Now (Taylor's Version),Fearless (Taylor's Version),Live From Clear Channel Stripped 2008,Speak Now,Fearless,1989,Taylor Swift,1989 (Taylor's Version),Red,evermore,Speak Now World Tour Live,reputation Stadium Tour Surprise Song Playlist
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),4.80359725341891,-0.9369450103637356,0.5902140672782874,0.3545673076923077,-7.304737112444223,0.1951289193629026,0.070202597623934,0.2965989399293286,0.84,0.18333890175603515,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),4.956941606873806,-1.9884466990317677,0.5856269113149847,0.5156250000000001,-3.5514531279937547,0.5446039568602243,0.2971786878377514,0.17071554770318023,0.79,0.37106458804053827,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version),5.104801190058976,-1.3788793797708296,0.8409785932721713,0.47355769230769235,-5.443481521394841,0.4707520891364902,0.29751954609042686,0.031802120141342746,0.83,0.1192642886670329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version),5.247646096965831,-1.337132611829717,0.6972477064220183,0.6045673076923077,-4.805725300128922,0.5121777015927433,0.354712720403917,0.3385600706713781,0.74,0.16717537511349206,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),5.385884953041019,-2.1195245933724682,0.5397553516819571,0.6490384615384616,-4.075587923220351,0.6116705949575031,0.22663523196114216,0.15304770318021202,0.88,0.27601255632129235,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mine (Taylor's Version),Speak Now (Taylor's Version),0.0,-3.0012347733992826,0.6162079510703364,0.7992788461538463,-3.138170642656408,0.9330762088422256,0.3762436000312453,0.4997791519434629,0.78,0.2802200187627531,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),0.7829994753508476,-2.4280773716234885,0.5275229357798165,0.7692307692307693,-3.9698911087064612,0.9687165202485537,0.3330043104366536,0.38604240282685515,0.75,0.3359495482027209,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Back To December (Taylor's Version),Speak Now (Taylor's Version),1.335679380127453,-2.9083284354448873,0.38837920489296635,0.6213942307692308,-4.364770582581118,0.8558674380401401,0.525248364945569,0.18286219081272087,0.79,0.39816298678868134,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Speak Now (Taylor's Version),Speak Now (Taylor's Version),1.7774125794343936,-1.1813816668090358,0.7400611620795107,0.6718750000000001,-3.6815464323149425,0.9312906220984215,0.36143756968065843,0.6643109540636043,0.73,0.3005438178238605,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Dear John (Taylor's Version),Speak Now (Taylor's Version),2.1515327684960113,-2.4529039327162865,0.2691131498470948,0.4230769230769231,-3.2781072751316374,0.7780872794800372,0.36356083254628213,0.105565371024735,0.74,0.6090400983062558,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
